21/03/2026 04:58:43 | INFO     | encuesta_api | [PETICIÓN] 21/03/2026 04:58:43 → crear_encuesta()
21/03/2026 04:58:43 | INFO     | encuesta_api | [OK]       crear_encuesta() completado en 0.4ms
21/03/2026 04:58:43 | WARNING  | encuesta_api | [422 VALIDACIÓN] POST /encuestas/ → 2 error(es) de validación
21/03/2026 04:58:43 | WARNING  | encuesta_api |    ✗ Campo 'body → encuestado → estrato': Value error, El estrato '10' no es válido. En Colombia los estratos son del 1 al 6. (recibido: 10)
21/03/2026 04:58:43 | WARNING  | encuesta_api |    ✗ Campo 'body → encuestado → departamento': Value error, 'NARNIA' no es un departamento válido de Colombia. Ejemplo de valores válidos: ANTIOQUIA, CUNDINAMARCA, BOGOTÁ D.C. (recibido: NARNIA)
21/03/2026 04:58:43 | INFO     | encuesta_api | [PETICIÓN] 21/03/2026 04:58:43 → listar_encuestas()
21/03/2026 04:58:43 | INFO     | encuesta_api | [OK]       listar_encuestas() completado en 0.4ms
21/03/2026 04:58:43 | INFO     | encuesta_api | [PETICIÓN] 21/03/2026 04:58:43 → crear_encuesta()
21/03/2026 04:58:43 | INFO     | encuesta_api | [OK]       crear_encuesta() completado en 0.4ms
21/03/2026 04:58:43 | INFO     | encuesta_api | [PETICIÓN] 21/03/2026 04:58:43 → listar_encuestas()
21/03/2026 04:58:43 | INFO     | encuesta_api | [OK]       listar_encuestas() completado en 0.3ms
21/03/2026 04:58:43 | INFO     | encuesta_api | [PETICIÓN] 21/03/2026 04:58:43 → crear_encuesta()
21/03/2026 04:58:43 | INFO     | encuesta_api | [OK]       crear_encuesta() completado en 0.4ms
21/03/2026 04:58:43 | INFO     | encuesta_api | [PETICIÓN] 21/03/2026 04:58:43 → obtener_encuesta()
21/03/2026 04:58:43 | INFO     | encuesta_api | [OK]       obtener_encuesta() completado en 0.3ms
21/03/2026 04:58:43 | INFO     | encuesta_api | [PETICIÓN] 21/03/2026 04:58:43 → obtener_encuesta()
21/03/2026 04:58:43 | ERROR    | encuesta_api | [ERROR]    obtener_encuesta() falló en 0.3ms → 404: No existe ninguna encuesta con ID 'uuid-que-no-existe'.
21/03/2026 04:58:43 | INFO     | encuesta_api | [PETICIÓN] 21/03/2026 04:58:43 → crear_encuesta()
21/03/2026 04:58:43 | INFO     | encuesta_api | [OK]       crear_encuesta() completado en 0.4ms
21/03/2026 04:58:43 | INFO     | encuesta_api | [PETICIÓN] 21/03/2026 04:58:43 → actualizar_encuesta()
21/03/2026 04:58:43 | INFO     | encuesta_api | [OK]       actualizar_encuesta() completado en 0.3ms
21/03/2026 04:58:43 | INFO     | encuesta_api | [PETICIÓN] 21/03/2026 04:58:43 → actualizar_encuesta()
21/03/2026 04:58:43 | ERROR    | encuesta_api | [ERROR]    actualizar_encuesta() falló en 0.3ms → 404: No existe ninguna encuesta con ID 'no-existe'.
21/03/2026 04:58:43 | INFO     | encuesta_api | [PETICIÓN] 21/03/2026 04:58:43 → crear_encuesta()
21/03/2026 04:58:43 | INFO     | encuesta_api | [OK]       crear_encuesta() completado en 0.4ms
